1       1       1       0       0       0       0       0       0       0       0       0
0       0       0       0       0       0       0       0       0       1       1       1
0       0       0       0       0       0       1       1       1       0       0       0   
0       0       0       1       1       1       0       0       0       0       0       0   
0       -1      -4      0       0       0       0       0       0       0       2       4
0       -1      -4      0       0       0       0       2       4       0       0       0   
0       -1      -4      0       2       4       0       0       0       0       0       0
0       -5      -320    0       2       64      0       2       64      0       2       64
0       -2      -16     0       0       0       0       0       0       0       3       12
0       -2      -16     0       0       0       0       3       12      0       0       0
0       -2      -16     0       3       12      0       0       0       0       0       0
0       -8      -4096   0       3       768     0       3       768     0       3       768

