0.00025 0  0.0  0.01 0.0  0.0 7830 0.0
0.00025025 1  0.0  0.01 0.0  0.0 7704.32 0.0
0.0002505 2  0.0  0.01 0.0  0.0 7582.52 0.0
0.000250751 3  0.0  0.01 0.0  0.0 7464.32 0.0
0.000251002 4  0.0  0.01 0.0  0.0 7349.48 0.0
0.000251254 5  0.0  0.01 0.0  0.0 7237.77 0.0
0.000251507 6  0.0  0.01 0.0  0.0 7128.99 0.0
0.000251761 7  0.0  0.01 0.0  0.0 7022.94 0.0
0.000252017 8  0.0  0.01 0.0  0.0 6919.45 0.0
0.000252274 9  0.0  0.01 0.0  0.0 6818.34 0.0
0.000252533 10  0.0  0.01 0.0  0.0 6719.48 0.0
0.000252794 11  0.0  0.01 0.0  0.0 6622.72 0.0
0.000253057 12  0.0  0.01 0.0  0.0 6527.92 0.0
0.000253322 13  0.0  0.01 0.0  0.0 6434.97 0.0
0.000253589 14  0.0  0.01 0.0  0.0 6344.2 0.0
0.000253857 15  0.0  0.01 0.0  0.0 6255.49 0.0
0.000254127 16  0.0  0.01 0.0  0.0 6168.74 0.0
0.000254399 17  0.0  0.01 0.0  0.0 6083.87 0.0
0.000254672 18  0.0  0.01 0.0  0.0 6000.8 0.0
0.000254947 19  0.0  0.01 0.0  0.0 5919.42 0.0
0.000255223 20  0.0  0.01 0.0  0.0 5839.68 0.0
0.000255502 21  0.0  0.01 0.0  0.0 5761.49 0.0
0.000255783 22  0.0  0.01 0.0  0.0 5684.79 0.0
0.000256067 23  0.0  0.01 0.0  0.0 5609.51 0.0
0.000256352 24  0.0  0.01 0.0  0.0 5535.6 0.0
0.00025664 25  0.0  0.01 0.0  0.0 5462.99 0.0
0.000256931 26  0.0  0.01 0.0  0.0 5391.63 0.0
0.000257225 27  0.0  0.01 0.0  0.0 5321.46 0.0
0.000257521 28  0.0  0.01 0.0  0.0 5252.44 0.0
0.00025782 29  0.0  0.01 0.0  0.0 5184.53 0.0
0.000258121 30  0.0  0.01 0.0  0.0 5118.08 0.0
0.000258422 31  0.0  0.01 0.0  0.0 5053.04 0.0
0.000258726 32  0.0  0.01 0.0  0.0 4989.35 0.0
0.00025903 33  0.0  0.01 0.0  0.0 4926.98 0.0
0.000259336 34  0.0  0.01 0.0  0.0 4865.86 0.0
0.000259643 35  0.0  0.01 0.0  0.0 4805.96 0.0
0.000259952 36  0.0  0.01 0.0  0.0 4747.24 0.0
0.000260263 37  0.0  0.01 0.0  0.0 4689.65 0.0
0.000260575 38  0.0  0.01 0.0  0.0 4633.16 0.0
0.000260888 39  0.0  0.01 0.0  0.0 4577.72 0.0
0.000261204 40  0.0  0.01 0.0  0.0 4523.31 0.0
0.000261521 41  0.0  0.01 0.0  0.0 4469.88 0.0
0.00026184 42  0.0  0.01 0.0  0.0 4417.42 0.0
0.00026216 43  0.0  0.01 0.0  0.0 4365.88 0.0
0.000262483 44  0.0  0.01 0.0  0.0 4315.24 0.0
0.000262807 45  0.0  0.01 0.0  0.0 4265.46 0.0
0.000263134 46  0.0  0.01 0.0  0.0 4216.53 0.0
0.000263462 47  0.0  0.01 0.0  0.0 4168.42 0.0
0.000263793 48  0.0  0.01 0.0  0.0 4121.09 0.0
0.000264126 49  0.0  0.01 0.0  0.0 4074.54 0.0
0.00026446 50  0.0  0.01 0.0  0.0 4028.73 0.0
0.000264798 51  0.0  0.01 0.0  0.0 3983.64 0.0
0.000265137 52  0.0  0.01 0.0  0.0 3939.26 0.0
0.000265479 53  0.0  0.01 0.0  0.0 3895.55 0.0
0.000265823 54  0.0  0.01 0.0  0.0 3852.51 0.0
0.000266169 55  0.0  0.01 0.0  0.0 3810.12 0.0
0.000266518 56  0.0  0.01 0.0  0.0 3768.35 0.0
0.00026687 57  0.0  0.01 0.0  0.0 3727.19 0.0
0.000267224 58  0.0  0.01 0.0  0.0 3686.62 0.0
0.000267581 59  0.0  0.01 0.0  0.0 3646.63 0.0
0.000267941 60  0.0  0.01 0.0  0.0 3607.21 0.0
0.000268304 61  0.0  0.01 0.0  0.0 3568.32 0.0
0.000268669 62  0.0  0.01 0.0  0.0 3529.97 0.0
0.000269037 63  0.0  0.01 0.0  0.0 3492.14 0.0
0.000269408 64  0.0  0.01 0.0  0.0 3454.82 0.0
0.000269783 65  0.0  0.01 0.0  0.0 3417.98 0.0
0.00027016 66  0.0  0.01 0.0  0.0 3381.63 0.0
0.000270541 67  0.0  0.01 0.0  0.0 3345.74 0.0
0.000270925 68  0.0  0.01 0.0  0.0 3310.32 0.0
0.000271312 69  0.0  0.01 0.0  0.0 3275.33 0.0
0.000271702 70  0.0  0.01 0.0  0.0 3240.79 0.0
0.000272096 71  0.0  0.01 0.0  0.0 3206.66 0.0
0.000272494 72  0.0  0.01 0.0  0.0 3172.96 0.0
0.000272895 73  0.0  0.01 0.0  0.0 3139.65 0.0
0.0002733 74  0.0  0.01 0.0  0.0 3106.74 0.0
0.000273709 75  0.0  0.01 0.0  0.0 3074.22 0.0
0.000274121 76  0.0  0.01 0.0  0.0 3042.08 0.0
0.000274537 77  0.0  0.01 0.0  0.0 3010.31 0.0
0.000274958 78  0.0  0.01 0.0  0.0 2978.89 0.0
0.000275382 79  0.0  0.01 0.0  0.0 2947.83 0.0
0.000275811 80  0.0  0.01 0.0  0.0 2917.12 0.0
0.000276244 81  0.0  0.01 0.0  0.0 2886.74 0.0
0.000276681 82  0.0  0.01 0.0  0.0 2856.7 0.0
0.000277123 83  0.0  0.01 0.0  0.0 2826.98 0.0
0.000277569 84  0.0  0.01 0.0  0.0 2797.57 0.0
0.000278019 85  0.0  0.01 0.0  0.0 2768.48 0.0
0.000278475 86  0.0  0.01 0.0  0.0 2739.69 0.0
0.000278935 87  0.0  0.01 0.0  0.0 2711.2 0.0
0.0002794 88  0.0  0.01 0.0  0.0 2683 0.0
0.000279871 89  0.0  0.01 0.0  0.0 2655.08 0.0
0.000280346 90  0.0  0.01 0.0  0.0 2627.45 0.0
0.000280827 91  0.0  0.01 0.0  0.0 2600.09 0.0
0.000281312 92  0.0  0.01 0.0  0.0 2573.01 0.0
0.000281804 93  0.0  0.01 0.0  0.0 2546.18 0.0
0.000282301 94  0.0  0.01 0.0  0.0 2519.62 0.0
0.000282803 95  0.0  0.01 0.0  0.0 2493.31 0.0
0.000283311 96  0.0  0.01 0.0  0.0 2467.26 0.0
0.000283826 97  0.0  0.01 0.0  0.0 2441.44 0.0
0.000284346 98  0.0  0.01 0.0  0.0 2415.87 0.0
0.000284872 99  0.0  0.01 0.0  0.0 2390.54 0.0
0.000285405 100  0.0  0.01 0.0  0.0 2365.44 0.0
0.000285944 101  0.0  0.01 0.0  0.0 2340.57 0.0
0.00028649 102  0.0  0.01 0.0  0.0 2315.92 0.0
0.000287042 103  0.0  0.01 0.0  0.0 2291.49 0.0
0.000287601 104  0.0  0.01 0.0  0.0 2267.28 0.0
0.000288167 105  0.0  0.01 0.0  0.0 2243.29 0.0
0.00028874 106  0.0  0.01 0.0  0.0 2219.5 0.0
0.000289321 107  0.0  0.01 0.0  0.0 2195.93 0.0
0.000289909 108  0.0  0.01 0.0  0.0 2172.55 0.0
0.000290504 109  0.0  0.01 0.0  0.0 2149.38 0.0
0.000291108 110  0.0  0.01 0.0  0.0 2126.4 0.0
0.000291719 111  0.0  0.01 0.0  0.0 2103.62 0.0
0.000292338 112  0.0  0.01 0.0  0.0 2081.02 0.0
0.000292966 113  0.0  0.01 0.0  0.0 2058.62 0.0
0.000293602 114  0.0  0.01 0.0  0.0 2036.4 0.0
0.000294246 115  0.0  0.01 0.0  0.0 2014.37 0.0
0.0002949 116  0.0  0.01 0.0  0.0 1992.51 0.0
0.000295562 117  0.0  0.01 0.0  0.0 1970.83 0.0
0.000296234 118  0.0  0.01 0.0  0.0 1949.33 0.0
0.000296915 119  0.0  0.01 0.0  0.0 1928 0.0
0.000297606 120  0.0  0.01 0.0  0.0 1906.84 0.0
0.000298306 121  0.0  0.01 0.0  0.0 1885.85 0.0
0.000299017 122  0.0  0.01 0.0  0.0 1865.03 0.0
0.000299737 123  0.0  0.01 0.0  0.0 1844.37 0.0
0.000300469 124  0.0  0.01 0.0  0.0 1823.87 0.0
0.000301211 125  0.0  0.01 0.0  0.0 1803.53 0.0
0.000301964 126  0.0  0.01 0.0  0.0 1783.35 0.0
0.000302728 127  0.0  0.01 0.0  0.0 1763.32 0.0
0.000303503 128  0.0  0.01 0.0  0.0 1743.45 0.0
0.000304291 129  0.0  0.01 0.0  0.0 1723.73 0.0
0.00030509 130  0.0  0.01 0.0  0.0 1704.16 0.0
0.000305902 131  0.0  0.01 0.0  0.0 1684.74 0.0
0.000306726 132  0.0  0.01 0.0  0.0 1665.47 0.0
0.000307563 133  0.0  0.01 0.0  0.0 1646.34 0.0
0.000308414 134  0.0  0.01 0.0  0.0 1627.35 0.0
0.000309277 135  0.0  0.01 0.0  0.0 1608.51 0.0
0.000310155 136  0.0  0.01 0.0  0.0 1589.81 0.0
0.000311047 137  0.0  0.01 0.0  0.0 1571.25 0.0
0.000311953 138  0.0  0.01 0.0  0.0 1552.83 0.0
0.000312874 139  0.0  0.01 0.0  0.0 1534.54 0.0
0.00031381 140  0.0  0.01 0.0  0.0 1516.39 0.0
0.000314761 141  0.0  0.01 0.0  0.0 1498.38 0.0
0.000315728 142  0.0  0.01 0.0  0.0 1480.49 0.0
0.000316712 143  0.0  0.01 0.0  0.0 1462.74 0.0
0.000317712 144  0.0  0.01 0.0  0.0 1445.12 0.0
0.000318729 145  0.0  0.01 0.0  0.0 1427.63 0.0
0.000319764 146  0.0  0.01 0.0  0.0 1410.27 0.0
0.000320817 147  0.0  0.01 0.0  0.0 1393.04 0.0
0.000321888 148  0.0  0.01 0.0  0.0 1375.93 0.0
0.000322978 149  0.0  0.01 0.0  0.0 1358.95 0.0
0.000324087 150  0.0  0.01 0.0  0.0 1342.1 0.0
0.000325215 151  0.0  0.01 0.0  0.0 1325.37 0.0
0.000326364 152  0.0  0.01 0.0  0.0 1308.76 0.0
0.000327534 153  0.0  0.01 0.0  0.0 1292.27 0.0
