fp
0.01 0.01
1768
-22 0 -11 0.0
-22 0 -10 0.0
-22 0 -9 0.0
-22 0 -8 0.0
-22 0 -7 0.0
-22 0 -6 0.0
-22 0 -5 0.0
-22 0 -4 1.9372536635656115e-16
-22 0 -3 1.0229326026105298e-15
-22 0 -2 1.8916079616874527e-15
-22 0 -1 4.1397514349294924e-15
-22 0 0 5.0437803326426359e-15
-22 0 1 3.2407315107117898e-15
-22 0 2 1.8981102545474274e-14
-22 0 3 4.9243064443200883e-15
-22 0 4 6.0361940253173582e-16
-22 0 5 0.0
-22 0 6 0.0
-22 0 7 0.0
-22 0 8 0.0
-22 0 9 0.0
-22 0 10 0.0
-21 0 -13 0.0
-21 0 -12 0.0
-21 0 -11 0.0
-21 0 -10 0.0
-21 0 -9 0.0
-21 0 -8 0.0
-21 0 -7 8.0619214586485967e-16
-21 0 -6 2.7698599570197123e-15
-21 0 -5 5.9735280875994468e-15
-21 0 -4 5.5675814780434197e-14
-21 0 -3 1.9648976218560666e-13
-21 0 -2 2.7744043160331777e-13
-21 0 -1 4.5341367211636012e-13
-21 0 0 5.6556594321757353e-13
-21 0 1 1.1619569344546646e-12
-21 0 2 1.6623512785607377e-12
-21 0 3 1.0659088170783463e-12
-21 0 4 3.1298777211760503e-13
-21 0 5 4.1261442578429436e-14
-21 0 6 2.8507782302479036e-15
-21 0 7 5.1425600559492185e-16
-21 0 8 0.0
-21 0 9 0.0
-21 0 10 0.0
-21 0 11 0.0
-21 0 12 0.0
-20 0 -15 0.0
-20 0 -14 0.0
-20 0 -13 0.0
-20 0 -12 0.0
-20 0 -11 0.0
-20 0 -10 0.0
-20 0 -9 1.2517195685398678e-15
-20 0 -8 1.0420365583304551e-14
-20 0 -7 1.5483379497241073e-13
-20 0 -6 2.3890243343793231e-13
-20 0 -5 5.9765027654410806e-11
-20 0 -4 1.5969536492062133e-08
-20 0 -3 3.3860488233477559e-07
-20 0 -2 1.6544656377779167e-06
-20 0 -1 3.323657985850812e-06
